,file,sim_modes
0,ORIGINAL,1881
1,VGAN-NORM,946
2,VGAN-NORM,898
3,VGAN-NORM,900
4,VGAN-NORM,1180
5,VGAN-NORM,1191
6,VGAN-NORM,1189
7,VGAN-NORM,1261
8,VGAN-NORM,1235
9,VGAN-NORM,1236
10,VGAN-NORM,670
11,VGAN-NORM,676
12,VGAN-NORM,754
13,VGAN-NORM,564
14,VGAN-NORM,1185
15,VGAN-NORM,779
16,VGAN-NORM_all,1788
17,VGAN-GMM,1162
18,VGAN-GMM,1193
19,VGAN-GMM,1187
20,VGAN-GMM,1152
21,VGAN-GMM,913
22,VGAN-GMM,960
23,VGAN-GMM,963
24,VGAN-GMM,965
25,VGAN-GMM,467
26,VGAN-GMM,945
27,VGAN-GMM,761
28,VGAN-GMM_all,1758
29,WGAN-NORM,893
30,WGAN-NORM,911
31,WGAN-NORM,133
32,WGAN-NORM,70
33,WGAN-NORM,687
34,WGAN-NORM,385
35,WGAN-NORM,62
36,WGAN-NORM,69
37,WGAN-NORM_all,1291
38,WGAN-GMM,521
39,WGAN-GMM,542
40,WGAN-GMM,511
41,WGAN-GMM,526
42,WGAN-GMM,53
43,WGAN-GMM,52
44,WGAN-GMM,564
45,WGAN-GMM,576
46,WGAN-GMM,538
47,WGAN-GMM,828
48,WGAN-GMM,133
49,WGAN-GMM_all,1259
50,VGAN-ORDI-NORM,438
51,VGAN-ORDI-NORM,423
52,VGAN-ORDI-NORM,991
53,VGAN-ORDI-NORM,1016
54,VGAN-ORDI-NORM,861
55,VGAN-ORDI-NORM,834
56,VGAN-ORDI-NORM_all,1504
57,VGAN-ORDI-GMM,992
58,VGAN-ORDI-GMM,1007
59,VGAN-ORDI-GMM,1233
60,VGAN-ORDI-GMM,1239
61,VGAN-ORDI-GMM,438
62,VGAN-ORDI-GMM,363
63,VGAN-ORDI-GMM_all,1619
64,TABFAIRGAN,961
65,TABFAIRGAN,925
66,TABFAIRGAN,919
67,TABFAIRGAN,862
68,TABFAIRGAN,894
69,TABFAIRGAN,899
70,TABFAIRGAN,919
71,TABFAIRGAN,940
72,TABFAIRGAN,926
73,TABFAIRGAN,889
74,TABFAIRGAN_all,1472
75,FAIRGAN,74
76,FAIRGAN,103
77,FAIRGAN,42
78,FAIRGAN,77
79,FAIRGAN,55
80,FAIRGAN,43
81,FAIRGAN,53
82,FAIRGAN_all,168
83,FAIRSWAP,1659
84,FAIRSWAP,1656
85,FAIRSWAP,1649
86,FAIRSWAP_all,1704
87,POST-FAIRGAN-VGAN-NORM,1289
88,POST-FAIRGAN-VGAN-NORM,1280
89,POST-FAIRGAN-VGAN-NORM,1317
90,POST-FAIRGAN-VGAN-NORM,1290
91,POST-FAIRGAN-VGAN-NORM,1304
92,POST-FAIRGAN-VGAN-NORM,1291
93,POST-FAIRGAN-VGAN-NORM_all,1628
94,POST-FAIRGAN-VGAN-GMM,1333
95,POST-FAIRGAN-VGAN-GMM,1343
96,POST-FAIRGAN-VGAN-GMM,1338
97,POST-FAIRGAN-VGAN-GMM,1318
98,POST-FAIRGAN-VGAN-GMM,1348
99,POST-FAIRGAN-VGAN-GMM,1323
100,POST-FAIRGAN-VGAN-GMM_all,1674
101,POST-FAIRGAN-WGAN-NORM,908
102,POST-FAIRGAN-WGAN-NORM,890
103,POST-FAIRGAN-WGAN-NORM,891
104,POST-FAIRGAN-WGAN-NORM,880
105,POST-FAIRGAN-WGAN-NORM,907
106,POST-FAIRGAN-WGAN-NORM,906
107,POST-FAIRGAN-WGAN-NORM_all,1201
108,POST-FAIRGAN-WGAN-GMM,810
109,POST-FAIRGAN-WGAN-GMM,818
110,POST-FAIRGAN-WGAN-GMM,833
111,POST-FAIRGAN-WGAN-GMM,797
112,POST-FAIRGAN-WGAN-GMM,817
113,POST-FAIRGAN-WGAN-GMM,817
114,POST-FAIRGAN-WGAN-GMM_all,1109
115,POST-FAIRGAN-VGAN-ORDI-NORM,1168
116,POST-FAIRGAN-VGAN-ORDI-NORM,1168
117,POST-FAIRGAN-VGAN-ORDI-NORM,1164
118,POST-FAIRGAN-VGAN-ORDI-NORM_all,1360
119,POST-FAIRGAN-VGAN-ORDI-GMM,1222
120,POST-FAIRGAN-VGAN-ORDI-GMM,1247
121,POST-FAIRGAN-VGAN-ORDI-GMM,1262
122,POST-FAIRGAN-VGAN-ORDI-GMM_all,1456
123,POST-FAIRGAN-TABFAIRGAN,1004
124,POST-FAIRGAN-TABFAIRGAN,1010
125,POST-FAIRGAN-TABFAIRGAN,1024
126,POST-FAIRGAN-TABFAIRGAN,997
127,POST-FAIRGAN-TABFAIRGAN,1012
128,POST-FAIRGAN-TABFAIRGAN,992
129,POST-FAIRGAN-TABFAIRGAN_all,1334
130,POST-FAIRGAN-FAIRGAN,125
131,POST-FAIRGAN-FAIRGAN,132
132,POST-FAIRGAN-FAIRGAN,130
133,POST-FAIRGAN-FAIRGAN,128
134,POST-FAIRGAN-FAIRGAN,126
135,POST-FAIRGAN-FAIRGAN,134
136,POST-FAIRGAN-FAIRGAN_all,161
