,FAIRGAN,Original,TABFAIRGAN,VGAN-gmm,VGAN-norm,VGAN-ordi-gmm,VGAN-ordi-norm,WGAN-gmm,WGAN-norm
DI,0.3178571428571429,0.68,0.3670714285714286,0.5721333333333334,0.502780487804878,0.39937500000000004,0.513,0.579037037037037,0.3838333333333333
Stat Par,0.21450663363882688,0.4399019428913481,0.053664276550811,0.2542023597591364,0.26423247818725326,0.10492980981397036,0.28370385616396077,0.21070279721481586,0.13206325798096136
Avg Odds,0.06318191585221615,0.0581662042054014,0.05330517108704521,0.0768877398266207,0.05457494316543824,0.024038758511964835,0.06137774530466803,0.06724899239645381,0.026323457502972224
Eq Opp,0.06655894972719865,0.0370314517142498,0.10479552550361744,0.11556850334928953,0.08967877861251107,0.04054677771303881,0.0961839234099919,0.07985149811474195,0.025452315941399767
Theil,0.11237334512573309,0.0797262876211763,0.10479160693299538,0.11090902144328658,0.09889717523388647,0.1127063132183456,0.10033975820223508,0.12995223291860034,0.12382459597435204
prec,0.14014285714285715,0.648,0.6122142857142857,0.4806666666666667,0.47082926829268296,0.461125,0.48275,0.2167037037037037,0.14325000000000002
rec,0.3831428571428571,0.429,0.196,0.16886666666666666,0.3191951219512195,0.199125,0.30125,0.09507407407407407,0.1920833333333333
acc,0.5485714285714286,0.906,0.8912857142857142,0.8814666666666666,0.8774146341463414,0.86325,0.877625,0.8423333333333333,0.8165833333333333
bal_acc,0.4765714285714286,0.699,0.5897142857142857,0.5724666666666667,0.6352439024390244,0.57525,0.62775,0.5182222222222223,0.54575
var,0.8141014808177669,0.7044697921058491,0.6986141901276129,0.7274897042470782,0.7451146914144491,0.7027182082495813,0.6235346446874519,1.1461192552974293,0.9121788689427429
all var,0.7503846653950585,0.0,0.6977895102891792,0.6820194625973375,0.719883130440434,0.5958906460080089,0.5753332626804077,0.8010875797210694,0.6631237347866752
DI_sem,0.1064839421320078,,0.07014149469369035,0.06195058450599898,0.026847457802962573,0.08050397893893195,0.06985341795502924,0.03629137707231279,0.07914015505048079
Stat Par_sem,0.0766042544735121,,0.009820042530727591,0.06904614794881078,0.030871093510046677,0.028180270062275466,0.06819349295512701,0.024459382255594873,0.04431621356959511
Avg Odds_sem,0.021029088634681736,,0.007119656705918824,0.026606678159303735,0.007993729624741016,0.006725916313552249,0.016971673818499428,0.007080895295224856,0.009268581343828875
Eq Opp_sem,0.022224326681293472,,0.012689811225987764,0.03670372104579716,0.00931006442382921,0.01412262247573553,0.01580769437260673,0.009245040344843164,0.009817997505395333
Theil_sem,0.010005230603992839,,0.0008793855165259463,0.0020740982678607942,0.0020574902810484345,0.0049274364829582275,0.001947010741790586,0.002374870101047239,0.005441928389938719
prec_sem,0.04557015970766739,,0.008954204961872115,0.03220273083165265,0.013401215017677676,0.05811762626039415,0.022213051182967705,0.02590255764108826,0.02739805484137349
rec_sem,0.1106232190755605,,0.008559423827789826,0.016711805541127042,0.0210240634347301,0.01936900829012309,0.02913316102705937,0.012776282996097503,0.07449877549668216
acc_sem,0.09303426331013677,,0.0006665358322690438,0.00250497916856022,0.002249112456318265,0.018873403432949167,0.004523500146062621,0.007866586990759771,0.020690159545547294
bal_acc_sem,0.018991046941798092,,0.0038891629815446587,0.008026068637743996,0.009300392103444396,0.012671325897474179,0.01111265366276533,0.006447980167704839,0.024565658772137403
var_sem,0.0785531484070533,,0.00139511565767598,0.013923335487424,0.00901484632225806,0.04496678149540606,0.014788717130674912,0.05728547813357049,0.0658128568549303
